file,sublevel,grid_size,n_states,win_prob,expected_steps
B-3,71,6,51,0.001088,5.20
B-3,72,6,54,0.001219,3.85
B-3,73,6,61,0.004684,25.07
B-3,74,6,46,0.001280,4.84
B-3,75,6,90,0.000360,9.70
B-3,76,6,56,0.033127,10.81
B-3,77,6,44,0.001903,17.33
B-3,78,6,106,0.005196,9.19
B-3,79,6,80,0.004957,9.99
B-3,80,6,34,0.043441,10.99
B-3,81,6,50,0.016583,31.90
B-3,82,6,55,0.000360,5.30
B-3,83,6,44,0.002536,3.92
B-3,84,6,65,0.001329,6.91
B-3,85,6,30,0.032624,20.91
B-3,86,6,58,0.000063,7.92
B-3,87,6,80,0.001230,3.49
B-3,88,6,36,0.409119,55.40
B-3,89,6,55,0.000283,5.47
B-3,90,6,47,0.051985,7.80
B-3,91,6,74,0.212514,10.22
B-3,92,6,66,0.077514,15.71
B-3,93,6,86,0.002357,3.69
B-3,94,6,62,0.251711,36.17
B-3,95,6,82,0.099955,73.88
B-3,96,6,54,0.107445,48.41
B-3,97,6,43,0.108390,12.37
B-3,98,6,31,0.078552,6.58
B-3,99,6,66,0.021043,7.58
B-4,0,6,83,0.000000,7.20
B-4,1,6,91,0.000000,26.97
B-4,2,6,101,0.006348,7.86
B-4,3,6,118,0.001681,10.63
B-4,4,6,103,0.000000,4.53
B-4,5,6,137,0.000000,3.91
B-4,6,6,94,0.000000,7.01
B-4,7,6,81,0.000003,8.76
B-4,8,6,95,0.000000,2.01
B-4,9,6,98,0.000000,73.60
B-4,10,6,109,0.000000,3.79
B-4,11,6,92,0.288016,86.68
B-4,12,6,111,0.000000,9.92
B-4,13,6,90,0.000034,3.60
B-4,14,6,97,0.002676,4.48
B-4,15,6,95,0.000000,7.26
B-4,16,6,91,0.000125,120.17
B-4,17,6,110,0.000001,60.13
B-4,18,6,114,0.000000,9.02
B-4,19,6,85,0.000002,35.11
B-4,20,6,86,0.000402,49.98
B-4,21,6,92,0.000004,69.56
B-4,22,6,107,0.000017,3.49
B-4,23,6,77,0.000001,33.61
B-4,24,6,94,0.000000,77.79
B-4,25,6,98,0.000001,15.81
B-4,26,6,169,0.129771,107.39
B-4,27,6,89,0.000016,60.00
B-4,28,6,84,0.000000,30.86
B-4,29,6,78,0.000024,9.29
B-4,30,6,121,0.000000,4.96
B-4,31,6,162,0.000002,22.56
B-4,32,6,104,0.081102,93.25
B-4,33,6,63,0.000000,5.18
B-4,34,6,131,0.000002,46.50
B-4,35,6,104,0.000000,3.45
B-4,36,6,108,0.000000,4.14
B-4,37,6,134,0.000000,43.98
B-4,38,6,109,0.000020,18.02
B-4,39,6,87,0.000000,2.88
B-4,40,6,105,0.000000,34.67
B-4,41,6,99,0.000000,2.49
B-4,42,6,94,0.000000,7.16
B-4,43,6,52,0.000010,6.86
B-4,44,6,116,0.144387,26.38
B-4,45,6,104,0.000000,2.00
B-4,46,6,130,0.000000,8.07
B-4,47,6,113,0.000000,60.08
B-4,48,6,98,0.000004,196.98
B-4,49,6,61,0.000000,1.75
B-4,50,6,106,0.000001,108.02
B-4,51,6,112,0.000000,57.87
B-4,52,6,117,0.000469,37.45
B-4,53,6,148,0.000407,6.60
B-4,54,6,121,0.000000,28.72
B-4,55,6,123,0.000000,33.86
B-4,56,6,94,0.000000,7.75
B-4,57,6,101,0.000000,2.17
B-4,58,6,124,0.010458,30.76
B-4,59,6,98,0.000004,43.53
B-4,60,6,84,0.000000,23.79
B-4,61,6,79,0.020833,2.58
B-4,62,6,55,0.000000,2.42
B-4,63,6,105,0.000002,4.60
B-4,64,6,111,0.000000,94.89
B-4,65,6,137,0.000000,78.97
B-4,66,6,93,0.000000,88.95
B-4,67,6,73,0.000000,2.18
B-4,68,6,73,0.000000,3.54
B-4,69,6,88,0.000008,38.43
B-4,70,6,134,0.000000,103.58
B-4,71,6,78,0.000000,7.41
B-4,72,6,65,0.000000,3.69
B-4,73,6,70,0.000002,50.12
B-4,74,6,84,0.000000,2.63
B-4,75,6,105,0.052513,21.70
B-4,76,6,73,0.000000,4.20
B-4,77,6,103,0.000000,168.50
B-4,78,6,82,0.001894,1.99
B-4,79,6,97,0.000000,4.38
B-4,80,6,84,0.000000,55.16
B-4,81,6,89,0.000006,2.36
B-4,82,6,110,0.007244,14.12
B-4,83,6,81,0.000010,11.12
B-4,84,6,99,0.000007,93.80
B-4,85,6,148,0.000000,5.05
B-4,86,6,105,0.000000,11.59
B-4,87,6,95,0.000000,132.88
B-4,88,6,89,0.000000,4.43
B-4,89,6,98,0.000001,12.52
B-4,90,6,100,0.000000,9.58
B-4,91,6,71,0.000000,4.71
B-4,92,6,103,0.000000,7.95
B-4,93,6,101,0.000000,40.11
B-4,94,6,83,0.000012,57.68
B-4,95,6,101,0.000000,1.98
B-4,96,6,96,0.000000,51.35
B-4,97,6,85,0.000000,4.22
B-4,98,6,78,0.000001,5.03
B-4,99,6,74,0.000000,8.54
B-5,0,6,192,0.000015,16.04
B-5,1,6,160,0.000000,16.92
B-5,2,6,225,0.000002,26.54
B-5,3,6,224,0.000074,96.39
B-5,4,6,125,0.000000,19.25
B-5,5,6,154,0.000000,73.27
B-5,6,6,19,0.001612,2.09
B-5,7,6,105,0.000004,8.28
B-5,8,6,98,0.000000,80.94
B-5,9,6,115,0.000000,19.29
B-5,10,6,126,0.000000,9.04
B-5,11,6,134,0.000000,3.70
B-5,12,6,246,0.000259,76.91
B-5,13,6,136,0.000000,3.08
B-5,14,6,125,0.000122,56.17
B-5,15,6,183,0.000000,101.42
B-5,16,6,172,0.000000,5.77
B-5,17,6,199,0.000001,11.03
B-5,18,6,182,0.000000,79.24
B-5,19,6,163,0.000000,21.91
B-5,20,6,148,0.042959,50.47
B-5,21,6,189,0.000109,73.14
B-5,22,6,285,0.000034,185.04
B-5,23,6,106,0.039429,26.47
B-5,24,6,209,0.000000,2.45
B-5,25,6,141,0.000000,5.68
B-5,26,6,23,0.000573,2.04
B-5,27,6,159,0.000000,135.84
B-5,28,6,211,0.000000,20.88
B-5,29,6,238,0.000000,51.34
B-5,30,6,158,0.000004,5.63
B-5,31,6,173,0.000000,3.75
B-5,32,6,181,0.000000,8.56
B-5,33,6,95,0.000005,9.45
B-5,34,6,150,0.003125,2.02
B-5,35,6,115,0.000044,312.85
B-5,36,6,178,0.000000,3.05
B-5,37,6,182,0.000001,207.27
B-5,38,6,166,0.000000,48.00
B-5,39,6,207,0.000618,62.82
B-5,40,6,208,0.000000,33.33
B-5,41,6,206,0.000000,41.83
B-5,42,6,190,0.000029,2.68
B-5,43,6,159,0.000000,4.71
B-5,44,6,176,0.000000,39.76
B-5,45,6,303,0.000522,18.32
B-5,46,6,230,0.000000,6.94
B-5,47,6,183,0.000005,66.31
B-5,48,6,114,0.085333,124.63
B-5,49,6,166,0.000000,7.78
B-5,50,6,188,0.000000,60.38
B-5,51,6,203,0.000000,115.01
B-5,52,6,173,0.000001,69.57
B-5,53,6,138,0.000000,41.87
B-5,54,6,137,0.000000,167.09
B-5,55,6,139,0.000001,16.31
B-5,56,6,159,0.000000,2.78
B-5,57,6,134,0.000001,16.99
B-5,58,6,235,0.004448,17.60
B-5,59,6,208,0.277970,47.27
B-5,60,6,204,0.000000,5.36
B-5,61,6,4,0.250000,1.88
B-5,62,6,158,0.000000,7.89
B-5,63,6,172,0.160905,13.66
B-5,64,6,184,0.000000,25.97
B-5,65,6,230,0.000000,56.89
B-5,66,6,257,0.000000,77.30
B-5,67,6,135,0.000000,58.92
B-5,68,6,106,0.002138,28.02
B-5,69,6,82,0.000000,8.60
B-5,70,6,159,0.000000,19.93
B-5,71,6,129,0.000000,103.42
B-5,72,6,61,0.000104,74.96
B-5,73,6,208,0.000000,18.92
B-5,74,6,130,0.000000,4.90
B-5,75,6,192,0.000015,16.04
B-5,76,6,160,0.000000,16.92
B-5,77,6,225,0.000002,26.54
B-5,78,6,224,0.000074,96.39
B-5,79,6,125,0.000000,19.25
B-5,80,6,154,0.000000,73.27
B-5,81,6,19,0.001612,2.09
B-5,82,6,105,0.000004,8.28
B-5,83,6,98,0.000000,80.94
B-5,84,6,115,0.000000,19.29
B-5,85,6,126,0.000000,9.04
B-5,86,6,134,0.000000,3.70
B-5,87,6,246,0.000259,76.91
B-5,88,6,136,0.000000,3.08
B-5,89,6,125,0.000122,56.17
B-5,90,6,183,0.000000,101.42
B-5,91,6,172,0.000000,5.77
B-5,92,6,199,0.000001,11.03
B-5,93,6,182,0.000000,79.24
B-5,94,6,163,0.000000,21.91
B-5,95,6,148,0.042959,50.47
B-5,96,6,189,0.000109,73.14
B-5,97,6,285,0.000034,185.04
B-5,98,6,106,0.039429,26.47
B-5,99,6,209,0.000000,2.45
B-6,0,6,84,0.000000,20.40
B-6,1,6,97,0.000000,3.94
B-6,2,6,85,0.000000,12.04
B-6,3,6,78,0.000014,2.92
B-6,4,6,60,0.000000,4.48
B-6,5,6,91,0.000000,7.23
B-6,6,6,115,0.000004,64.27
B-6,7,6,85,0.000017,33.31
B-6,8,6,139,0.000000,20.63
B-6,9,6,77,0.000027,117.30
B-6,10,6,75,0.000002,4.89
B-6,11,6,83,0.000024,12.11
B-6,12,6,85,0.000000,6.85
B-6,13,6,112,0.000000,169.32
B-6,14,6,101,0.000024,2.91
B-6,15,6,105,0.000000,2.94
B-6,16,6,123,0.000001,3.82
B-6,17,6,143,0.106304,22.77
B-6,18,6,53,0.000000,4.40
B-6,19,6,84,0.000000,2.88
B-6,20,6,82,0.000000,18.86
B-6,21,6,115,0.000000,14.17
B-6,22,6,118,0.000001,13.03
B-6,23,6,101,0.000002,9.11
B-6,24,6,111,0.250002,3.44
B-6,25,6,99,0.000030,43.07
B-6,26,6,63,0.000002,18.07
B-6,27,6,105,0.000000,3.19
B-6,28,6,84,0.000000,6.14
B-6,29,6,134,0.000001,4.82
B-6,30,6,131,0.000000,23.85
B-6,31,6,74,0.000000,5.05
B-6,32,6,57,0.000038,21.33
B-6,33,6,113,0.000008,13.71
B-6,34,6,96,0.000000,10.30
B-6,35,6,102,0.000001,63.56
B-6,36,6,130,0.000000,16.52
B-6,37,6,119,0.000000,3.46
B-6,38,6,91,0.013030,15.27
B-6,39,6,90,0.000000,7.56
B-6,40,6,72,0.000000,41.03
B-6,41,6,80,0.000010,183.55
B-6,42,6,65,0.000061,13.16
B-6,43,6,88,0.000000,1.95
B-6,44,6,85,0.000000,2.45
B-6,45,6,108,0.000001,13.71
B-6,46,6,99,0.000000,3.74
B-6,47,6,95,0.000000,132.88
B-6,48,6,30,0.001036,6.61
B-6,49,6,80,0.000000,19.08
B-6,50,6,92,0.000000,71.06
B-6,51,6,147,0.000000,6.70
B-6,52,6,106,0.000000,14.33
B-6,53,6,83,0.000000,6.94
B-6,54,6,101,0.000000,57.10
B-6,55,6,79,0.000007,11.00
B-6,56,6,93,0.000000,6.77
B-6,57,6,84,0.000003,3.29
B-6,58,6,87,0.000001,45.73
B-6,59,6,77,0.000003,19.00
B-6,60,6,81,0.000012,12.03
B-6,61,6,90,0.000002,6.50
B-6,62,6,78,0.000000,58.11
B-6,63,6,106,0.000000,3.14
B-6,64,6,118,0.000000,21.77
B-6,65,6,71,0.000000,9.72
B-6,66,6,148,0.000000,6.06
B-6,67,6,84,0.000114,6.20
B-6,68,6,101,0.000001,7.04
B-6,69,6,80,0.000000,16.92
B-6,70,6,88,0.000000,42.39
B-6,71,6,111,0.000000,14.15
B-6,72,6,123,0.000002,9.08
B-6,73,6,84,0.000000,20.40
B-6,74,6,97,0.000000,3.94
B-6,75,6,85,0.000000,12.04
B-6,76,6,78,0.000014,2.92
B-6,77,6,60,0.000000,4.48
B-6,78,6,91,0.000000,7.23
B-6,79,6,115,0.000004,64.27
B-6,80,6,85,0.000017,33.31
B-6,81,6,139,0.000000,20.63
B-6,82,6,77,0.000027,117.30
B-6,83,6,75,0.000002,4.89
B-6,84,6,83,0.000024,12.11
B-6,85,6,85,0.000000,6.85
B-6,86,6,112,0.000000,169.32
B-6,87,6,101,0.000024,2.91
B-6,88,6,105,0.000000,2.94
B-6,89,6,123,0.000001,3.82
B-6,90,6,143,0.106304,22.77
B-6,91,6,53,0.000000,4.40
B-6,92,6,84,0.000000,2.88
B-6,93,6,82,0.000000,18.86
B-6,94,6,115,0.000000,14.17
B-6,95,6,118,0.000001,13.03
B-6,96,6,101,0.000002,9.11
B-6,97,6,111,0.250002,3.44
B-6,98,6,99,0.000030,43.07
B-6,99,6,63,0.000002,18.07
B-7,0,6,111,0.000000,21.19
B-7,1,6,119,0.004670,22.41
B-7,2,6,115,0.000004,64.27
B-7,3,6,85,0.000017,33.31
B-7,4,6,139,0.000000,20.63
B-7,5,6,85,0.000000,6.85
B-7,6,6,101,0.000024,2.91
B-7,7,6,105,0.000000,2.94
B-7,8,6,113,0.000000,73.44
B-7,9,6,99,0.000030,43.07
B-7,10,6,105,0.000000,3.19
B-7,11,6,113,0.000008,13.71
B-7,12,6,130,0.000000,16.52
B-7,13,6,30,0.001036,6.61
B-7,14,6,92,0.000000,71.06
B-7,15,6,83,0.000000,6.94
B-7,16,6,101,0.000000,57.10
B-7,17,6,118,0.000000,4.53
B-7,18,6,90,0.000002,6.50
B-7,19,6,111,0.000000,14.15
B-7,20,6,111,0.000000,21.19
B-7,21,6,119,0.004670,22.41
B-7,22,6,115,0.000004,64.27
B-7,23,6,85,0.000017,33.31
B-7,24,6,139,0.000000,20.63
B-7,25,6,85,0.000000,6.85
B-7,26,6,101,0.000024,2.91
B-7,27,6,105,0.000000,2.94
B-7,28,6,113,0.000000,73.44
B-7,29,6,99,0.000030,43.07
B-7,30,6,105,0.000000,3.19
B-7,31,6,113,0.000008,13.71
